iter	Logloss
0	0.6894872436
1	0.6859656729
2	0.6827051036
3	0.6796239561
4	0.6767789317
5	0.6740495248
6	0.6714663508
7	0.6690330301
8	0.6667384387
9	0.6646843312
10	0.6626633014
11	0.6607542198
12	0.6589977399
13	0.6573177759
14	0.6558260794
15	0.6543097874
16	0.6529764053
17	0.651752879
18	0.6504926093
19	0.6493111224
20	0.6481890233
21	0.6471459517
22	0.6461446683
23	0.645198756
24	0.6443143304
25	0.6434288868
26	0.6426435055
27	0.6419130184
28	0.6411771779
29	0.6404973674
30	0.6398348826
31	0.6392183792
32	0.6386542083
33	0.6381053314
34	0.6375782472
35	0.6370891022
36	0.6366013294
37	0.6361603073
38	0.635747646
39	0.6353500896
40	0.6349602676
41	0.634580982
42	0.6342152942
43	0.6338677777
44	0.6335638984
45	0.6332760436
46	0.632951627
47	0.632693998
48	0.6324134094
49	0.632166433
50	0.6319093777
51	0.6316802155
52	0.6314490714
53	0.6312110573
54	0.6310057795
55	0.6307929842
56	0.630611145
57	0.6304429628
58	0.6302681276
59	0.6300957467
60	0.6299190852
61	0.629752889
62	0.6295581652
63	0.6294024394
64	0.6292523789
65	0.6291255875
66	0.6289793162
67	0.6288579124
68	0.6287507427
69	0.6286140303
70	0.6285161228
71	0.6284088467
72	0.6283007774
73	0.6281815982
74	0.6280646775
75	0.6279129265
76	0.627813533
77	0.627721183
78	0.6275989401
79	0.6275244076
80	0.6274244521
81	0.6272988309
82	0.6271886106
83	0.6270994958
84	0.6269635348
85	0.6268745815
86	0.6267811859
87	0.6267091737
88	0.6266374587
89	0.626503184
90	0.6264314507
91	0.6263790417
92	0.6263147419
93	0.6262560094
94	0.6262009609
95	0.6261344084
96	0.6260462716
97	0.6259566677
98	0.6258858886
99	0.6257786786
100	0.6257169688
101	0.6256569062
102	0.625516533
103	0.6254457553
104	0.6253864243
105	0.6253366798
106	0.625263987
107	0.6252066266
108	0.6251548493
109	0.6251025537
110	0.6250427904
111	0.6249931278
112	0.6249297656
113	0.6248884232
114	0.6247856077
115	0.6247496607
116	0.6246884402
117	0.6246497062
118	0.6246081565
119	0.6245610732
120	0.624509765
121	0.6244674668
122	0.6243888929
123	0.624351856
124	0.6242934476
125	0.6242403953
126	0.6241665745
127	0.6241396592
128	0.6241030543
129	0.624065952
130	0.624006858
131	0.6239703912
132	0.623908387
133	0.6238795298
134	0.6238342357
135	0.6237952988
136	0.6237672093
137	0.6237256998
138	0.6236987215
139	0.6236520567
140	0.6236183039
141	0.6235700734
142	0.6235450918
143	0.6235108833
144	0.6234828693
145	0.623350501
146	0.6233217237
147	0.6232990715
148	0.6232426163
149	0.6232175514
150	0.6231983808
151	0.6231694439
152	0.6230942906
153	0.6230578054
154	0.6230205729
155	0.6229703061
156	0.6229383435
157	0.6229212679
158	0.6228014873
159	0.6227793289
160	0.6227364012
161	0.6227160169
162	0.6226863893
163	0.6226572194
164	0.622643349
165	0.6226018855
166	0.6225078667
167	0.6224205754
168	0.6223434133
169	0.622320709
170	0.6223032004
171	0.6222340071
172	0.6221865692
173	0.6221668665
174	0.6221462796
175	0.6221214897
176	0.6220982838
177	0.6220646528
178	0.6220381002
179	0.6220096151
180	0.6219191008
181	0.6218976867
182	0.6218816074
183	0.6218644113
184	0.6218475915
185	0.6218279775
186	0.6217561183
187	0.6217221554
188	0.6217071193
189	0.6216549774
190	0.6216105974
191	0.6215890719
192	0.6215690602
193	0.6215416237
194	0.6215280621
195	0.621512821
196	0.6215006724
197	0.6214913262
198	0.6214684676
199	0.6214487131
200	0.6213723426
201	0.6213353388
202	0.6212820943
203	0.6212603602
204	0.6212351421
205	0.6212163903
206	0.6212023272
207	0.6211855626
208	0.6211720897
209	0.621151241
210	0.6211162308
211	0.6210990165
212	0.6210682211
213	0.621052835
214	0.6209896856
215	0.6209773163
216	0.6209633545
217	0.6209464722
218	0.6209144311
219	0.6208897199
220	0.6208710076
221	0.6208359545
222	0.6208116014
223	0.6207970349
224	0.620772126
225	0.6207444597
226	0.6207163232
227	0.620689641
228	0.6206466063
229	0.6206122934
230	0.6205910499
231	0.6205450901
232	0.6205217562
233	0.6204896131
234	0.6204801688
235	0.6204438041
236	0.6204341114
237	0.620419557
238	0.6204115671
239	0.6203626799
240	0.6202939314
241	0.6202679709
242	0.6202321483
243	0.6202169413
244	0.6202008039
245	0.6201112005
246	0.6200988505
247	0.6200870897
248	0.6200685532
249	0.6200382568
250	0.6200067197
251	0.620004377
252	0.6199929679
253	0.6199103121
254	0.6198984372
255	0.6198740672
256	0.6198644956
257	0.6198514244
258	0.6198418288
259	0.6198208816
260	0.6197933605
261	0.6197473187
262	0.6197374222
263	0.6197075486
264	0.6196676965
265	0.6196524667
266	0.6196156781
267	0.6196091734
268	0.6195953808
269	0.6195609738
270	0.619552114
271	0.61952623
272	0.6195089086
273	0.6194576726
274	0.6194465858
275	0.619410062
